Symbol,Entry
AAPL,130
ABBV,111
ACN,290.78
ADBE,536
AIG,45.5
AMAT,129
AMD,82.5
AMZN,3425
ATVI,90
AVGO,460
AXP,163.5
BA,218
BABA,200
BAC,37
BIDU,175
BKNG,2125
BLK,867.5
CAT,214
CHTR,700
CHWY,76
CLF,19
CMCSA,57
CME,209
COIN,215
COST,388
CRM,237
PLTR,23.12
CSCO,53.25
CTXS,98.5
CVNA,276.5
CVX,95
DE,338.5
DIS,170.5
DOW,59.25
DPZ,400
EWH,26.5
EXAS,105.5
FB,332.5
FCX,30.5
FDX,288
FISV,107.5
FSLR,80
GE,12.6
GILD,67
GLD,165
GM,55
GOOG,2471
GOOGL,2395
GS,352
HD,307
HON,217
IBM,138.5
ICE,116.75
ILMN,432.5
INTC,54.95
INTU,459
JD,66.7
JNJ,165
JPM,147
KO,53.75
LMT,375
MA,370
MCD,230
MDLZ,63
MELI,1350
MGM,36.5
MMM,195
MRK,75.5
MRVL,51
MSFT,258.5
SPOT,250
NFLX,485
NIO,41.85
NKE,146.5
NOW,465
NUE,87
NVDA,179
NXPI,183.5
PEP,147.5
PFE,38.5
PG,135
PINS,68.5
CRSP,124.5
PYPL,258
QCOM,139.5
QQQ,342.6
RCL,78.48
REGN,515
ROKU,337
RTX,82.3
SBUX,113
SE,241
SHOP,1312
SLF,50.2
SPGI,394
VRTX,199.2
SPY,427
SQ,221
STMP,200
T,28.32
TDOC,132.5
TLT,141.5
TMUS,143
TSLA,622
TSM,115.5
TWLO,308
TWTR,61
TXN,184.5
UNH,388.75
V,232.75
NEM,59.5
VZ,56.5
WBA,45.5
WDAY,221.2
WMT,135.8
XBI,125.5
XOM,55
YUM,115
Z,106.5
ZM,347.5